001_091_/01;La conquête du savoir = exploiring the earth and the cosmos;ASIMOV Isaac;;Marabout;1982;436;Science et connaissance;13105
001_951_/02;La science chinoise et l'occident;NEEDHAM Joseph;Paris;Seuil;1979;252;Science et connaissances en général;11225
001.18/01;Pour une prospective de la science : recherche et technologie : les jeux de l'avenir;PAPON Pierre;Paris;Seghers;1983;383;Avenir de la science;11828
001.18/02;Traité élémentaire de prévision et de prospective;DECOUFLE André-Clément;Paris;Puf;1978;432;Avenir de la science . Anticipation;14366
001.2/01;Les scientifiques parlent.;JACQUARD Albert;Paris;Hachette;1987;326;rapport des sciences les unes avec les;18176
001.5/01;Théorie générale des systèmes = général system theory;BERTALANFFY Ludwig;Paris;Bordas;1973;298;Théories hypothèses et systèmes scientifiques;15544
001.8/01;Recherches et technologie;  ;Paris;La Documentation française;1982;222;Méthodologie générale, méthodes scientifique;10263
001.8/02;Principes méthodologiques pour l'évaluation sociale de la technologie;  ;Paris;Ocde;1975;176;Méthodes scientifiques et techniques;8613
001/01;Penser la technique : pour une démocratie concrète;ROQUEPLO Philippe;Paris;Seuil;1983;242;Science et connaissances en général;11002
001/02;L'idéologie de / dans la science;  ;Paris;Seuil;1977;264;Science et connaissances en général;13120
001/03;Les savoirs ventriloques : ou comment la culture parle à travers la science;THUILLIER Pierre;Paris;Seuil;1983;180;Science et connaissances en général;11753
001/04;Grandes découvertes de la science;ASIMOV Isaac;;Nh;1983;168;Science et connaissances en général;11950
001/05;Le petit savant illustré;THUILLIER Pierre;;Seuil;1980;116;Science et connaissances en général;13855
001/06;Pour une politique scientifique;PIGANIOL Pierre. VILLECOURT Louis;Paris;Flammarion;1983;302;Science et connaissances en général;13848
001/07;La nouvelle alliance : métamorphose de la science;PRIGOGINE Ilya. STENGERS Isabelle;;Gallimard;1979;314;Science et connaissance en général;15135
001/08;Janus : esquisse d'un système;KOESTLER Arthur;Paris;C. Lévy;1979;352;la pathologie de l'esprit humain;14441
001/09;Le cri d'Archimède : l'art de la découverte et la découverte de l'art;KOESTLER Arthur;Paris;C. Lévy;1965;448;science et connaissances général;14225
001/10;La science et la diversité des cultures;BERQUE Jacques. BOUHDIBA Abdelwahab. PEPPER CLARK Johusen;Paris;Puf;1974;324;sciences et connaissances en général;4072
001/11;Sciences et symboles : les voies de la connaissance;  ;Paris;A. Michel;1986;456;Science et connaissances en général;16321
001/12;Al-Biruni: his times, life and works;SAID Hakim. ZAHID A;Karachi;Hamdard;1981;240;Science et connaissance en général;12796
001/13;L'invention intellectuelle;SCHLANGER Judith;Paris;Fayard;1983;277;Science et connaissances en général;11810
002_297_/01;Dix ans de recherche universitaire française sur le monde arabe et Islamique de 1968 - 69 à 1979;  ;Paris;Recherche sur les civilisations;1982;340;Documentation;9154
002_371.11_/01;Guide international de la documentation pédagogique;UNESCO;Paris;Unesco;1971;571;Documentation pédagogique;233
002.63/01;Guide mondial des écoles de bibliothécaires et documentalistes = world guide to library schols and training courses in documentations;UNESCO;Paris;Unesco;1972;250;Centres nationaux de documentation;5854
002.6/01;Guide des recherches en sciences humaines sur la méditerranée contemporaine;  ;Paris;Cnrs;1978;100;Centre de documentation;6773
002.6/01bis;Guide des recherches en sciences humaines sur la méditerranée contemporaine;  ;Paris;Cnrs;1978;87;Centre de documentation;10380
002/01;Anatomie d'une année internationale : l'année du livre 1972;  ;Paris;Unesco;1975;46;Documentation;5796
002/02;Les problèmes économiques de l'édition des livres dans les pays en voie de développement;C.SMITH Jr Datus;Paris;Unesco;1977;48;Documentation;5640
002/03;Le livre dans les pays multilingues;HASSAN Abul;Paris;Unesco;1978;48;Documentation;5636
002/04;Des livres pour les pays en voie de développement : Asie Afrique;PRAKASH Om. FYLE Clifford M;Paris;Unesco;1965;36;Documentation;7414
002/06;Les techniques documentaires;CHAUMIER Jacques;Paris;Puf;1974;126;Documentation;2063
002/07;Guide mondial des centres de documentation et d'information techniques;  ;Paris;Unesco;1975;499;Documentation;5721
002/08;Analyse et langages documentaires : le traitement linguistique de l'information documentaire;CHAUMIER Jacques;Paris;Entreprise Moderne;1982;188;Documentation . écrits en général;14361
002/09;Comment organiser sa documentation scientifique;DESVALES Hélène;Paris;Bordas;1978;272;Documentation;8055
002/10;Méthodologie d'utilisation d'un centre de documentation;CHEVALIER Brigitte;Paris;Hachette;1980;192;Documentation;7092
002/11;Terminology of documentation = terminologie de la documentation;WERSIG Gernot. NEVELING Ulrich;Paris;Unesco;1976;278;Documentation;5869
002/11bis;Terminology of documentation = terminologie de la documentation;WERSIG Gernot. NEVELING Ulrich;Paris;Unesco;1976;278;Documentation;5825
002/12;Le coût de la documentation principes et méthode de calcul;BERNARDIN Odile;Paris;d'Organisation;1979;132;Documentation;4473
002/13;Comment se documenter : s'informer- critiquer - rédiger;HUMBLET Jean;Bruxelles;Labor;1985;184;Documentation;16536
002/14;L'organisation des systèmes d'information des pouvoirs publics;DE Grolier Eric;Paris;Unesco;1978;184;Documentation;5642
002/15;Manuel des échanges internationaux de publications;VANWIJINGAERDEN Frans;Paris;Unesco;1977;184;Documentation;12100
002/15bis;Manuel des échanges internationaux de publications;VANWIJINGAERDEN Frans;Paris;Unesco;1977;184;Documentation;5641
002/16;Le rôle et l'organisation d'un centre national de documentation dans un pays en voie de développement;SCHÜTZ Harald;Paris;Unesco;1976;232;Documentation;5856
002/17;Conception et gestion des systèmes documentaires;VAN Slype Georges;Paris;d'Organisation;1979;264;Documentation;4413
002/18;Le démon de Socrate = drinker of infinity;KOESTLER Arthur;;C. Lévy;1970;320;Généralité : divers articles;14460
002/19;Guide pratique à l'usage de l'archiviste - documentaliste : un exemple concret : les communes;DURAND-EVARD Françoise. DURAND Claude;Paris;Lavoisier;1955;340;Documentation;16936
002/20;Procédures d'analyse sémantique appliquées à la documentation scientifique;  ;Paris;G.Villars;1970;244;documentation;22111
002/21t1;Guide pratique des techniques documentaires. v1 : traitement et gestion des documents;GUINCHAT Claire;Paris;Edicef;1989;272;Documentation : techniques;24184
002/21t2;Guide pratique des techniques documentaires. v2 : traitement de l'information;GUINCHAT Claire;Paris;Edicef;1989;320;Documentation : techniques;24185
003.62/01;La symbolique;BEIGBEDER Olivier;Paris;Puf;1975;128;Désignation, notations, symboles;1943
